Articles reviewed for each chapter are included here. ,,,
"Please note the following: 1) The total number of articles reviewed for the book exceeds those below; these are articles that were relevant for specific chapter queries. 2) Article links and titles often change after initial publication, especially for ""live articles"" or ""updates"". As such, you may find that searching for the article title along with the date and outlet will yield the best results. 3) Titles have been shifted to lower case and ""."" (periods) have been removed. 4) Some articles were reviewed or used in multiple chapters.  ",,,
,,,
"Full, partial, or modified article title when it was accessed",Date originally published or modified,Online news outlet,Chapter where article was reviewed or referenced
the language of caution creeps into biden’s messages to israel: the president warns against occupying gaza,10/16/2023,Washington Post,1
the long shadow of israel’s hostage crisis,10/10/2023,Politico,1
the man who blazed a trail for dictatorship in the middle east,11/14/2023,New York Times,1
the marketing of a massacre,10/19/2023,New York Times,1
the menendez brothers: what to know ahead of the new netflix series,9/18/2024,New York Times,1
the pentagon chief says us security assistance is ‘rapidly flowing’ to israel,10/13/2023,New York Times,1
the president of israel: this is not a battle just between israel and hamas,11/3/2023,New York Times,1
the proxy forces iran has assembled across the middle east,10/27/2023,New York Times,1
the stakes on presidential power,9/12/2024,New York Times,1
the un details some of the dire conditions in gaza’s hospitals,12/19/2023,New York Times,1
the united states has more at risk in the middle east than you probably think,10/8/2024,Politico,1
"the us calls a burning red sea tanker a ‘potentially catastrophic environmental disaster,’ and other news",9/5/2024,New York Times,1
the us has strongly backed israel’s war against hamas the allies don’t seem to know what comes next,11/1/2023,AP News,1
the us is sharing hard lessons from urban combat in iraq and syria as israel prepares to invade gaza,10/25/2023,AP News,1
the us says hamas ‘reneged’ on a deal to release all the women hostages,12/4/2023,New York Times,1
"the us says it won’t halt aid to an israeli military unit accused of abuses, after israel took remedial steps",8/9/2024,New York Times,1
"the vaccine drive has been more successful than expected, a who official says",9/3/2024,New York Times,1
the war in gaza is making thousands of orphans,8/22/2024,New York Times,1
the who chief calls gaza’s health care situation ‘catastrophic’,12/10/2023,New York Times,1
the women writing from the front lines,11/10/2023,Politico,1
these are some of the false claims about the israel attacks being shared online,10/12/2023,New York Times,1
they worked together as peace activists oct 7 changed everything,12/14/2023,New York Times,1
this is terrorism': biden confirms american hostages held by hamas,10/10/2023,USATODAY,1
this pro-israel muslim immigrant wants to unseat ilhan omar,11/3/2023,Politico,1
thursday briefing,8/1/2024,New York Times,1
thursday briefing: chinese spies compete with us spies,12/27/2023,New York Times,1
tim walz’s 1993 geography class correctly predicted the next genocide,8/8/2024,Washington Post,1
"to end hamas, israel may need to grieve first",10/13/2023,Politico,1
top american colleges seek to quell anti-israel sentiment in wake of hamas attacks,10/11/2023,Politico,1
"top hamas commander killed, idf says",10/31/2023,USATODAY,1
transcript: ezra klein interviews zack beauchamp: the ezra klein show,10/31/2023,New York Times,1
"treasury hits hamas, iran with sanctions",10/18/2023,Politico,1
trump and harris jockey for advantage on military strength,8/26/2024,Washington Post,1
trump veteran comments spark controversy — again,8/16/2024,Politico,1
tuesday briefing: biden’s plan for the supreme court,7/29/2024,New York Times,1
tuesday briefing: israel expands its gaza operations,12/4/2023,New York Times,1
tuesday briefing: jd vance and kamala harris; trump rally shooter; alzheimer’s test; stephen nedoroscik; northern lights,7/30/2024,Washington Post,1
tuesday briefing: netanyahu visits gaza,12/25/2023,New York Times,1
tuesday briefing: republicans endorse kamala harris; jack smith; israeli hostage rescue; pavel durov arrest; oasis tour,8/27/2024,Washington Post,1
"uc berkeley sued for alleged ""unchecked"" antisemitism",11/28/2023,Axios,1
uk ending challenge to icc arrest warrants for israeli leaders,7/26/2024,Washington Post,1
un chief asks security council to declare cease-fire in gaza under rarely invoked rule,12/6/2023,New York Times,1
un rights monitors describe ‘deplorable conditions’ of palestinians detained by israel,7/31/2024,New York Times,1
un says evacuation order in gaza’s deir al-balah ‘upends’ aid efforts,8/27/2024,Washington Post,1
"under heavy bombing, palestinians in gaza move from place to place, only to discover nowhere is safe",10/11/2023,AP News,1
"under rules of war, ‘proportionality’ in gaza is not about evening the score",12/13/2023,New York Times,1
"under scrutiny over gaza, israel points to civilian toll of us wars",11/7/2023,New York Times,1
university leaders criticized after congressional hearing on antisemitism,12/6/2023,Axios,1
unrest at army bases highlights a long battle for israel’s soul,7/31/2024,New York Times,1
us calls for ‘proportionate’ israeli response while not openly setting red lines,10/10/2023,Politico,1
us has a trove of intel on israel’s conduct of war,12/14/2023,Politico,1
us military advisers invoke lessons of iraq in urging israelis to avoid all-out ground assault in gaza,10/24/2023,CNN,1
us officials: iran might see 'an opportunity' to attack american forces amid middle east instability,10/11/2023,Politico,1
us prepares to lift ban on sales of offensive weapons to saudi arabia,12/21/2023,New York Times,1
"us says israel didn’t cause hospital blast, as biden promises aid to gaza",10/18/2023,New York Times,1
"us seeks gaza aid, safe zones as israeli invasion looms",10/16/2023,Washington Post,1
us shrugs off ‘all-out war’ worries in middle east,7/29/2024,Politico,1
us vetoes un cease-fire resolution; humanitarian crisis deepens,12/8/2023,Washington Post,1
"us, qatar agree to stop iran from tapping $6 billion fund after hamas attack",10/12/2023,Washington Post,1
va ag will probe fundraising of pro-palestinian group,10/31/2023,Washington Post,1
video from 2013 protest in cairo misrepresented to falsely claim palestinians are staging deaths,10/31/2023,AP News,1
videos do not show a ‘crisis actor’ pretending to be a victim in gaza they show two different men,10/27/2023,AP News,1
violent videos and ‘brutal voyeurism’ are redefining modern war,10/24/2023,Washington Post,1
"war intensifies in southern gaza, where civilians say no place is safe",12/5/2023,New York Times,1
was hamas drug crazed from captagon during oct 7 attacks?,11/2/2023,USATODAY,1
we volunteered at a gaza hospital what we saw was unspeakable,7/19/2024,Politico,1
wednesday briefing: ‘accounts of unimaginable cruelty’,12/5/2023,New York Times,1
welcome to the information blender,10/11/2023,Politico,1
what home schooling hides: a boy tortured and starved by his stepmom,12/2/2023,Washington Post,1
what is happening on college campuses is not free speech,11/3/2023,New York Times,1
what it was like to be a jewish banker,11/14/2023,New York Times,1
what it would mean to treat hamas like isis,10/12/2023,New York Times,1
"what to know about ismail haniyeh, the hamas leader killed in iran",7/31/2024,Washington Post,1
what we know about sexual violence during the oct 7 attacks on israel,12/4/2023,New York Times,1
what’s fueling democratic calls for limits on aid to israel,11/30/2023,Washington Post,1
what's in israel's unreleased video of hamas' attack,10/31/2023,Politico,1
what’s next after the debate,9/11/2024,New York Times,1
white house condemns protest at israeli restaurant in philadelphia,12/4/2023,New York Times,1
white house says biden’s remark on photos of children was intended to ‘underscore the utter depravity’ of hamas attack,10/12/2023,CNN,1
who are the palestinian prisoners who could be released in a hostage deal?,11/21/2023,New York Times,1
who decides penn’s future: donors or the university?,10/26/2023,New York Times,1
who is hamas leader yehiya sinwar? from enforcer to oct 7 mastermind,12/11/2023,Washington Post,1
who the swing voters are,9/4/2024,New York Times,1
who's spending what in the 2025 gop proxy campaign?,10/25/2023,Politico,1
why a gaza invasion and ‘once and for all’ thinking are wrong for israel,10/16/2023,New York Times,1
why a state department official resigned over biden’s handling of israel,11/10/2023,Washington Post,1
why colleges are struggling with their response to the israel-hamas war,10/21/2023,Politico,1
why egypt can’t solve gaza’s problems,10/20/2023,New York Times,1
why harris picked walz,8/7/2024,New York Times,1
why politicians keep adding caveats to ‘cease-fire’,12/19/2023,Politico,1
why torres talks israel so much,10/27/2023,Politico,1
"with prisoner swap, biden scores a win as his term nears its end: white house memo",8/1/2024,New York Times,1
witness to a massacre: israeli festival survivor returns to site of hamas rampage,11/3/2023,CNN,1
words matter,10/10/2023,Politico,1
writers guild faces backlash for not condemning hamas attack,10/23/2023,New York Times,1
"yazidi woman taken captive by isis has been rescued in gaza, israel says",10/3/2024,New York Times,1
"yehya sinwar, hamas’s leader in gaza, is at the top of israel’s target list",10/16/2023,New York Times,1
young palestinian prisoners describe harsh treatment in israeli jails,12/4/2023,Washington Post,1
your next governor?,8/14/2024,Politico,1
zelensky compares assault by hamas on israel to moscow’s invasion of ukraine,10/9/2023,New York Times,1
zionists aren’t welcomed in this brooklyn bookstore,8/21/2024,Politico,1
‘a disservice to the american public’: democrats rip biden over weapons sale to israel,12/13/2023,Politico,2
‘a hellscape’: dire conditions in gaza leave a multitude of amputees,6/17/2024,New York Times,2
‘a lot of innocent people are going to die’,10/13/2023,Politico,2
‘a pack of lies’ israeli prime minister denies he is starving civilians in gaza as a method of war,5/21/2024,CNN,2
‘a very slow game:’ why the pace of israel’s ground operation counts,10/30/2023,New York Times,2
‘a worthwhile thought’ for biden leaves questions unanswered,11/27/2023,Politico,2
‘anora’ wins palme d’or award at cannes — and more festival highlights,5/25/2024,Washington Post,2
"‘appropriate’ review: when daddy dies, a disturbing inheritance",12/18/2023,New York Times,2
‘are we truly so precious?’: james bennet’s damning nyt portrayal,12/14/2023,Politico,2
"‘be surgical, be targeted, be precise’",11/29/2023,Politico,2
‘beyond crazy’: the liberal jew mugged by a post-oct 7 world,1/4/2024,Politico,2
"‘biggest worry in captivity was for my parents,’ rescued israeli hostage noa argamani says",6/29/2024,CNN,2
"‘bring them home': as the battle for gaza rages, hostage families wait with trepidation",11/18/2023,AP News,2
‘bring them home’: families of american hostages in gaza release tv ad,1/5/2024,New York Times,2
‘buying quiet’: inside the israeli plan that propped up hamas,12/10/2023,New York Times,2
‘can i walk outside of the room?’ israeli doctors help child hostages return home,12/5/2023,New York Times,2
‘catastrophic’ fears in washington as haiti crisis worsens,3/5/2024,Politico,2
‘cheaters don’t like getting caught’: harris blasts trump in michigan,6/8/2024,New York Times,2
"‘closer than we have been’ to reaching a deal on hostages in gaza, official says",11/19/2023,Politico,2
‘comma-la’ and gaza: 5 standout moments from day 4 of the dnc,8/23/2024,Washington Post,2
‘complete paralysis:’ palestinian medics say disaster awaits gaza as israel pounds enclave with airstrikes,10/12/2023,CNN,2
‘decisions under fire’: campuses try a mix of tactics as protests grow,4/27/2024,New York Times,2
‘disturbing’ intel raises eyebrows in dc,2/14/2024,Politico,2
‘double haters’ might decide the 2024 election,3/14/2024,Politico,2
‘eliminate them’: republicans step up calls for action against hamas,10/11/2023,Politico,2
"‘eliminate,’ ‘eradicate,’ ‘level’: us politicians escalate rhetoric against hamas",10/11/2023,Politico,2
‘erase gaza’: war unleashes incendiary rhetoric in israel,11/15/2023,New York Times,2
"‘every hamas member is a dead man,’ netanyahu says in fiery speech, as israel masses troops near gaza strip",10/11/2023,Washington Post,2
‘everything here is gone’: a teenager documents the destruction of her home in gaza city,10/30/2023,New York Times,2
"‘for her, time is running out’: a mother’s desperate plea to get her bloodied and battered daughter out of hamas captivity",12/20/2023,CNN,2
‘from the river to the sea': why these 6 words spark fury and passion over the israel-hamas war,11/11/2023,AP News,2
"‘full-blown famine’ happening in gaza, wfp warns, amid fresh push for truce",5/5/2024,CNN,2
"‘google is a monopolist,’ judge rules in landmark antitrust case",8/6/2024,New York Times,2
‘he lost our votes’: how biden’s israel policy is costing him dearly in this critical swing state,11/11/2023,Politico,2
‘he was a pious man’: the gaza neighborhood shocked to find israeli hostages in their midst,7/19/2024,CNN,2
‘homegrown’ embeds with ‘dynamic’ trump supporters as they plan jan 6,9/6/2024,Washington Post,2
"‘hope is hard to come by’: in the red sea resort of eilat, israeli survivors from october 7 face a new threat",11/21/2023,CNN,2
"‘humiliated and defeated’: fear, shock grip israel after hamas assault",10/7/2023,Washington Post,2
‘i am leaving for the unknown’ palestinians fleeing rafah describe their fear and despair,5/7/2024,CNN,2
‘i don’t really have any other choice’: young israelis around the world return home after hamas attacks,10/13/2023,CNN,2
‘i feel a human deterioration’,10/27/2023,New York Times,2
‘i have your back’: doug emhoff draws on his faith after hamas attack,10/23/2023,New York Times,2
‘i just couldn’t take it’: how a jewish politician decided to confront left-wing antisemitism,11/5/2023,Politico,2
‘i just hope that they are alive’: how hamas abducted 150 israelis,10/9/2023,New York Times,2
‘i kissed her but she wouldn’t wake up’ grandfather grieves for 3-year-old granddaughter killed as she slept in gaza,11/29/2023,CNN,2
"‘i left him behind’: freed hostage fears for father, still in gaza",12/21/2023,New York Times,2
"‘i left my good friends’: in videos shown in tel aviv, freed hostages share their stories",12/9/2023,New York Times,2
"‘i love you i am sorry’: one jew, one muslim and a friendship tested by war",10/21/2023,New York Times,2
